,Path,Fold,Family (abbr.),Family (in full),Instrument (abbr.),Instrument (in full),Technique (abbr.),Technique (in full),Pitch,Pitch ID (if applicable),Dynamics,Dynamics ID (if applicable),Instance ID,Mute (abbr.),Mute (in full),String ID (if applicable),Needed digital retuning,nframes,Duration(s),Octave
4179,Strings/Contrabass+sordina/ordinario/Cb+S-ord-E3-pp-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,E3,52.0,pp,0.0,0.0,S,Sordina,1.0,False,,,3
4180,Strings/Contrabass+sordina/ordinario/Cb+S-ord-E4-ff-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,E4,64.0,ff,4.0,0.0,S,Sordina,1.0,False,,,4
4181,Strings/Contrabass+sordina/ordinario/Cb+S-ord-E4-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,ord,ordinario,E4,64.0,mf,2.0,0.0,S,Sordina,1.0,False,,,4
4182,Strings/Contrabass+sordina/ordinario/Cb+S-ord-E4-pp-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,E4,64.0,pp,0.0,0.0,S,Sordina,1.0,False,,,4
4204,Strings/Contrabass+sordina/ordinario/Cb+S-ord-F3-ff-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,ord,ordinario,F3,53.0,ff,4.0,0.0,S,Sordina,1.0,False,,,3
4205,Strings/Contrabass+sordina/ordinario/Cb+S-ord-F3-mf-1c-T14u.wav,3,Strings,Violin Family,Cb,Contrabass,ord,ordinario,F3,53.0,mf,2.0,0.0,S,Sordina,1.0,True,183904.0,,3
4206,Strings/Contrabass+sordina/ordinario/Cb+S-ord-F3-pp-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,ord,ordinario,F3,53.0,pp,0.0,0.0,S,Sordina,1.0,False,,,3
4207,Strings/Contrabass+sordina/ordinario/Cb+S-ord-F4-ff-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,F4,65.0,ff,4.0,0.0,S,Sordina,1.0,False,,,4
4208,Strings/Contrabass+sordina/ordinario/Cb+S-ord-F4-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,ord,ordinario,F4,65.0,mf,2.0,0.0,S,Sordina,1.0,False,,,4
4209,Strings/Contrabass+sordina/ordinario/Cb+S-ord-F4-pp-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,F4,65.0,pp,0.0,0.0,S,Sordina,1.0,False,,,4
4231,Strings/Contrabass+sordina/ordinario/Cb+S-ord-G3-ff-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,ord,ordinario,G3,55.0,ff,4.0,0.0,S,Sordina,1.0,False,,,3
4232,Strings/Contrabass+sordina/ordinario/Cb+S-ord-G3-mf-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,G3,55.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
4233,Strings/Contrabass+sordina/ordinario/Cb+S-ord-G3-pp-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,G3,55.0,pp,0.0,0.0,S,Sordina,1.0,False,,,3
4234,Strings/Contrabass+sordina/ordinario/Cb+S-ord-G4-ff-1c-N.wav,3,Strings,Violin Family,Cb,Contrabass,ord,ordinario,G4,67.0,ff,4.0,0.0,S,Sordina,1.0,False,,,4
4235,Strings/Contrabass+sordina/ordinario/Cb+S-ord-G4-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,ord,ordinario,G4,67.0,mf,2.0,0.0,S,Sordina,1.0,False,,,4
4236,Strings/Contrabass+sordina/ordinario/Cb+S-ord-G4-pp-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,G4,67.0,pp,0.0,0.0,S,Sordina,1.0,False,,,4
4246,Strings/Contrabass+sordina/tremolo/Cb+S-trem-A3-mf-1c-T15d.wav,1,Strings,Violin Family,Cb,Contrabass,trem,tremolo,A3,57.0,mf,2.0,0.0,S,Sordina,1.0,True,398351.0,,3
4250,Strings/Contrabass+sordina/tremolo/Cb+S-trem-B3-mf-1c-T16u.wav,1,Strings,Violin Family,Cb,Contrabass,trem,tremolo,B3,59.0,mf,2.0,0.0,S,Sordina,1.0,True,324893.0,,3
4256,Strings/Contrabass+sordina/tremolo/Cb+S-trem-C3-mf-1c-T16u.wav,0,Strings,Violin Family,Cb,Contrabass,trem,tremolo,C3,48.0,mf,2.0,0.0,S,Sordina,1.0,True,333004.0,,3
4257,Strings/Contrabass+sordina/tremolo/Cb+S-trem-C4-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,trem,tremolo,C4,60.0,mf,2.0,0.0,S,Sordina,1.0,False,,,4
4264,Strings/Contrabass+sordina/tremolo/Cb+S-trem-D3-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,trem,tremolo,D3,50.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
4265,Strings/Contrabass+sordina/tremolo/Cb+S-trem-D4-mf-1c-T13u.wav,1,Strings,Violin Family,Cb,Contrabass,trem,tremolo,D4,62.0,mf,2.0,0.0,S,Sordina,1.0,True,337728.0,,4
4269,Strings/Contrabass+sordina/tremolo/Cb+S-trem-E3-mf-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,trem,tremolo,E3,52.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
4270,Strings/Contrabass+sordina/tremolo/Cb+S-trem-E4-mf-1c-T15u.wav,2,Strings,Violin Family,Cb,Contrabass,trem,tremolo,E4,64.0,mf,2.0,0.0,S,Sordina,1.0,True,337689.0,,4
4278,Strings/Contrabass+sordina/tremolo/Cb+S-trem-F3-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,trem,tremolo,F3,53.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
4279,Strings/Contrabass+sordina/tremolo/Cb+S-trem-F4-mf-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,trem,tremolo,F4,65.0,mf,2.0,0.0,S,Sordina,1.0,False,,,4
4287,Strings/Contrabass+sordina/tremolo/Cb+S-trem-G3-mf-1c-T12u.wav,3,Strings,Violin Family,Cb,Contrabass,trem,tremolo,G3,55.0,mf,2.0,0.0,S,Sordina,1.0,True,335122.0,,3
4288,Strings/Contrabass+sordina/tremolo/Cb+S-trem-G4-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,trem,tremolo,G4,67.0,mf,2.0,0.0,S,Sordina,1.0,False,,,4
4292,Strings/Contrabass/artificial_harmonic/Cb-art_harm-A3-mf-3c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,A3,57.0,mf,2.0,2.0,N,None,3.0,False,,,3
4293,Strings/Contrabass/artificial_harmonic/Cb-art_harm-A4-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,A4,69.0,mf,2.0,1.0,N,None,2.0,False,,,4
4294,Strings/Contrabass/artificial_harmonic/Cb-art_harm-A4-mf-3c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,A4,69.0,mf,2.0,2.0,N,None,3.0,False,,,4
4295,Strings/Contrabass/artificial_harmonic/Cb-art_harm-A5-mf-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,A5,81.0,mf,2.0,0.0,N,None,1.0,False,,,5
4296,Strings/Contrabass/artificial_harmonic/Cb-art_harm-B3-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,B3,59.0,mf,2.0,3.0,N,None,4.0,False,,,3
4297,Strings/Contrabass/artificial_harmonic/Cb-art_harm-B4-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,B4,71.0,mf,2.0,1.0,N,None,2.0,False,,,4
4298,Strings/Contrabass/artificial_harmonic/Cb-art_harm-B4-mf-3c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,B4,71.0,mf,2.0,2.0,N,None,3.0,False,,,4
4299,Strings/Contrabass/artificial_harmonic/Cb-art_harm-B5-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,B5,83.0,mf,2.0,0.0,N,None,1.0,False,,,5
4303,Strings/Contrabass/artificial_harmonic/Cb-art_harm-C4-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,C4,60.0,mf,2.0,3.0,N,None,4.0,False,,,4
4304,Strings/Contrabass/artificial_harmonic/Cb-art_harm-C5-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,C5,72.0,mf,2.0,1.0,N,None,2.0,False,,,5
4305,Strings/Contrabass/artificial_harmonic/Cb-art_harm-C5-mf-3c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,C5,72.0,mf,2.0,2.0,N,None,3.0,False,,,5
4311,Strings/Contrabass/artificial_harmonic/Cb-art_harm-D4-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,D4,62.0,mf,2.0,1.0,N,None,2.0,False,,,4
4312,Strings/Contrabass/artificial_harmonic/Cb-art_harm-D4-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,D4,62.0,mf,2.0,3.0,N,None,4.0,False,,,4
4313,Strings/Contrabass/artificial_harmonic/Cb-art_harm-D5-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,D5,74.0,mf,2.0,0.0,N,None,1.0,False,,,5
4314,Strings/Contrabass/artificial_harmonic/Cb-art_harm-D5-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,D5,74.0,mf,2.0,1.0,N,None,2.0,False,,,5
4316,Strings/Contrabass/artificial_harmonic/Cb-art_harm-E3-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,E3,52.0,mf,2.0,3.0,N,None,4.0,False,,,3
4317,Strings/Contrabass/artificial_harmonic/Cb-art_harm-E4-mf-3c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,E4,64.0,mf,2.0,2.0,N,None,3.0,False,,,4
4318,Strings/Contrabass/artificial_harmonic/Cb-art_harm-E4-mf-4c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,E4,64.0,mf,2.0,3.0,N,None,4.0,False,,,4
4319,Strings/Contrabass/artificial_harmonic/Cb-art_harm-E5-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,E5,76.0,mf,2.0,0.0,N,None,1.0,False,,,5
4320,Strings/Contrabass/artificial_harmonic/Cb-art_harm-E5-mf-2c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,E5,76.0,mf,2.0,1.0,N,None,2.0,False,,,5
4326,Strings/Contrabass/artificial_harmonic/Cb-art_harm-F4-mf-3c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,F4,65.0,mf,2.0,2.0,N,None,3.0,False,,,4
4327,Strings/Contrabass/artificial_harmonic/Cb-art_harm-F4-mf-4c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,F4,65.0,mf,2.0,3.0,N,None,4.0,False,,,4
4328,Strings/Contrabass/artificial_harmonic/Cb-art_harm-F5-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,F5,77.0,mf,2.0,0.0,N,None,1.0,False,,,5
4329,Strings/Contrabass/artificial_harmonic/Cb-art_harm-F5-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,F5,77.0,mf,2.0,1.0,N,None,2.0,False,,,5
4333,Strings/Contrabass/artificial_harmonic/Cb-art_harm-G4-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,G4,67.0,mf,2.0,0.0,N,None,1.0,False,,,4
4334,Strings/Contrabass/artificial_harmonic/Cb-art_harm-G4-mf-3c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,G4,67.0,mf,2.0,2.0,N,None,3.0,False,,,4
4335,Strings/Contrabass/artificial_harmonic/Cb-art_harm-G4-mf-4c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,G4,67.0,mf,2.0,3.0,N,None,4.0,False,,,4
4336,Strings/Contrabass/artificial_harmonic/Cb-art_harm-G5-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm,artificial_harmonic,G5,79.0,mf,2.0,0.0,N,None,1.0,False,,,5
4341,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-A3-mf-3c-N.wav,3,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,A3,57.0,mf,2.0,2.0,N,None,3.0,False,,,3
4342,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-A4-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,A4,69.0,mf,2.0,1.0,N,None,2.0,False,,,4
4343,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-A4-mf-3c-N.wav,2,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,A4,69.0,mf,2.0,2.0,N,None,3.0,False,,,4
4344,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-A5-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,A5,81.0,mf,2.0,0.0,N,None,1.0,False,,,5
4345,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-B3-mf-4c-N.wav,2,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,B3,59.0,mf,2.0,3.0,N,None,4.0,False,,,3
4346,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-B4-mf-2c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,B4,71.0,mf,2.0,1.0,N,None,2.0,False,,,4
4347,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-B4-mf-3c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,B4,71.0,mf,2.0,2.0,N,None,3.0,False,,,4
4348,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-B5-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,B5,83.0,mf,2.0,0.0,N,None,1.0,False,,,5
4352,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-C4-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,C4,60.0,mf,2.0,3.0,N,None,4.0,False,,,4
4353,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-C5-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,C5,72.0,mf,2.0,1.0,N,None,2.0,False,,,5
4354,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-C5-mf-3c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,C5,72.0,mf,2.0,2.0,N,None,3.0,False,,,5
4360,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-D4-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,D4,62.0,mf,2.0,1.0,N,None,2.0,False,,,4
4361,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-D4-mf-4c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,D4,62.0,mf,2.0,3.0,N,None,4.0,False,,,4
4362,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-D5-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,D5,74.0,mf,2.0,0.0,N,None,1.0,False,,,5
4363,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-D5-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,D5,74.0,mf,2.0,1.0,N,None,2.0,False,,,5
4365,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-E3-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,E3,52.0,mf,2.0,3.0,N,None,4.0,False,,,3
4366,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-E4-mf-3c-N.wav,2,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,E4,64.0,mf,2.0,2.0,N,None,3.0,False,,,4
4367,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-E4-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,E4,64.0,mf,2.0,3.0,N,None,4.0,False,,,4
4368,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-E5-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,E5,76.0,mf,2.0,0.0,N,None,1.0,False,,,5
4369,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-E5-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,E5,76.0,mf,2.0,1.0,N,None,2.0,False,,,5
4374,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-F4-mf-3c-N.wav,2,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,F4,65.0,mf,2.0,2.0,N,None,3.0,False,,,4
4375,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-F4-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,F4,65.0,mf,2.0,3.0,N,None,4.0,False,,,4
4376,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-F5-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,F5,77.0,mf,2.0,0.0,N,None,1.0,False,,,5
4377,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-F5-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,F5,77.0,mf,2.0,1.0,N,None,2.0,False,,,5
4380,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-G4-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,G4,67.0,mf,2.0,0.0,N,None,1.0,False,,,4
4381,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-G4-mf-3c-N.wav,1,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,G4,67.0,mf,2.0,2.0,N,None,3.0,False,,,4
4382,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-G4-mf-4c-N.wav,0,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,G4,67.0,mf,2.0,3.0,N,None,4.0,False,,,4
4383,Strings/Contrabass/artificial_harmonic_tremolo/Cb-art_harm_trem-G5-mf-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,art_harm_trem,artificial_harmonic_tremolo,G5,79.0,mf,2.0,0.0,N,None,1.0,False,,,5
4397,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-A3-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,A3,57.0,mf,2.0,0.0,N,None,1.0,False,,,3
4402,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-B3-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,B3,59.0,mf,2.0,0.0,N,None,1.0,False,,,3
4409,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-C3-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,C3,48.0,mf,2.0,0.0,N,None,1.0,False,,,3
4410,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-C3-mf-2c-N.wav,0,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,C3,48.0,mf,2.0,1.0,N,None,2.0,False,,,3
4411,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-C4-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,C4,60.0,mf,2.0,0.0,N,None,1.0,False,,,4
4419,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-D3-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,D3,50.0,mf,2.0,0.0,N,None,1.0,False,,,3
4420,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-D4-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,D4,62.0,mf,2.0,0.0,N,None,1.0,False,,,4
4424,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-E3-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,E3,52.0,mf,2.0,0.0,N,None,1.0,False,,,3
4425,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-E4-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,E4,64.0,mf,2.0,0.0,N,None,1.0,False,,,4
4433,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-F3-mf-1c-N.wav,3,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,F3,53.0,mf,2.0,0.0,N,None,1.0,False,,,3
4442,Strings/Contrabass/col_legno_battuto/Cb-legno_batt-G3-mf-1c-N.wav,3,Strings,Violin Family,Cb,Contrabass,legno_batt,col_legno_battuto,G3,55.0,mf,2.0,0.0,N,None,1.0,False,,,3
4452,Strings/Contrabass/col_legno_tratto/Cb-legno_tratto-A3-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,legno_tratto,col_legno_tratto,A3,57.0,mf,2.0,0.0,N,None,1.0,False,,,3
4457,Strings/Contrabass/col_legno_tratto/Cb-legno_tratto-B3-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,legno_tratto,col_legno_tratto,B3,59.0,mf,2.0,0.0,N,None,1.0,False,,,3
